Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,1,2,0,0,0.16387686780436025,0.0,0.26627218934911245,360.0,1.0,1,1
0,1,0,1,1,0.23385318853596798,0.275062656641604,0.39497041420118345,360.0,1.0,1,1
1,1,0,1,0,0.04207833210854359,0.0,0.14497041420118342,360.0,1.0,2,0
1,1,0,1,0,0.14381753354563023,0.0,0.22633136094674555,360.0,1.0,0,1
1,1,0,1,0,0.12435698538417572,0.0,0.22485207100591717,360.0,0.0,0,0
1,1,2,1,0,0.2626221387550693,0.0,0.3609467455621302,360.0,1.0,0,1
1,1,1,1,0,0.34737758906943195,0.5398913951545531,0.4985207100591716,360.0,1.0,2,1
0,1,0,1,0,0.0015241827930649683,0.0,0.07396449704142012,360.0,1.0,0,1
1,1,0,1,0,0.16444843635175962,0.6969507101086049,0.3062130177514793,360.0,1.0,1,1
1,0,0,1,0,0.007539261315696361,0.6873433583959899,0.14497041420118342,360.0,1.0,1,1
1,1,0,1,0,0.11670885386897471,0.26378446115288223,0.19822485207100593,360.0,1.0,1,1
0,0,0,1,0,0.04956315832448763,0.0,0.10650887573964497,360.0,1.0,0,1
0,1,0,1,0,0.05356413815628317,0.0,0.09911242603550297,360.0,1.0,1,1
1,1,2,1,1,0.06368906671021475,0.46637426900584794,0.21597633136094674,360.0,0.0,1,1
1,0,1,1,0,0.14242943850194606,0.0,0.20118343195266272,360.0,1.0,1,1
1,0,0,0,0,0.05947034647940992,0.0,0.15236686390532544,360.0,1.0,1,1
1,1,0,1,0,0.1936256498190033,0.2556390977443609,0.28402366863905326,360.0,0.0,2,0
1,1,1,1,1,0.07590974660461065,0.5217209690893901,0.21745562130177515,360.0,1.0,0,1
1,0,1,1,1,0.010124928553931574,0.5616123642439432,0.1346153846153846,360.0,1.0,1,0
1,0,0,1,0,0.22478974442720667,0.0,0.2692307692307692,360.0,0.0,1,0
1,1,3,1,0,0.04918211262622139,0.28905597326649957,0.1760355029585799,360.0,1.0,2,1
1,1,0,1,1,0.08304074467216462,0.0,0.19674556213017752,360.0,1.0,1,0
1,1,0,1,0,0.16970142347785852,0.0,0.23816568047337278,360.0,1.0,2,1
1,1,3,1,0,0.05911651833101984,0.5866750208855472,0.20118343195266272,360.0,1.0,2,1
1,1,0,1,0,0.008274135162352685,0.0,0.06656804733727811,360.0,1.0,1,0
0,1,1,1,0,0.06853379058817126,0.0,0.15976331360946747,360.0,1.0,1,1
1,1,0,1,1,0.424539342968346,0.0,0.5059171597633136,360.0,1.0,1,1
1,0,0,0,0,0.15056748591491795,0.5513784461152882,0.23224852071005916,360.0,1.0,2,1
1,1,0,0,0,0.16333251680683705,0.5150375939849624,0.21597633136094674,360.0,1.0,1,1
1,1,0,1,0,0.1467570289322555,0.27422723475355054,0.257396449704142,360.0,1.0,2,1
1,0,2,0,0,0.032334449252878254,0.5641186299081036,0.14644970414201183,360.0,1.0,0,1
1,0,0,1,0,0.07936637543888299,0.0,0.13313609467455623,300.0,1.0,1,1
1,1,0,1,0,0.20402275387169647,0.295530492898914,0.3136094674556213,360.0,1.0,1,1
0,1,0,1,0,0.015432350779782803,0.0,0.10650887573964497,360.0,0.0,2,0
0,1,1,0,0,0.04754905963365178,0.0,0.13313609467455623,360.0,1.0,2,1
0,1,0,1,0,0.04724966658501402,0.2901002506265664,0.15976331360946747,360.0,0.0,0,0
1,1,2,1,0,0.08285022182303149,0.6873433583959899,0.20118343195266272,360.0,0.0,2,0
1,1,0,1,0,0.5774203206227375,0.0,0.7440828402366864,360.0,1.0,1,1
1,1,3,0,0,0.009988840804550774,0.0,0.05917159763313609,360.0,0.0,1,0
1,1,0,1,0,0.10718271141231867,0.0,0.21301775147928995,360.0,1.0,2,1
1,1,2,1,0,0.028768950219101277,0.0,0.14792899408284024,360.0,1.0,0,1
1,1,2,1,0,0.5184398900410985,0.8005430242272348,0.7174556213017751,480.0,1.0,1,1
1,1,2,1,0,0.017392014370866335,0.34523809523809523,0.11982248520710059,360.0,1.0,2,1
0,1,2,1,0,0.07566478865572521,0.30743525480367584,0.17011834319526628,360.0,1.0,2,1
1,1,2,0,0,0.19651071010587626,0.5037593984962406,0.3624260355029586,360.0,1.0,2,1
1,0,1,1,0,0.1789281728858768,0.0,0.23520710059171598,360.0,1.0,0,1
1,1,0,1,0,0.08045507743392939,0.2819548872180451,0.16124260355029585,360.0,1.0,1,1
1,0,0,1,0,0.06224653656677826,0.0,0.13757396449704143,360.0,1.0,2,1
1,0,3,0,1,0.07422225851228872,0.3237259816207185,0.22189349112426035,360.0,1.0,2,1
1,1,1,1,0,0.044827304646035765,0.9920634920634921,0.21301775147928995,360.0,1.0,1,1
0,1,2,1,0,0.03350480389755314,0.49644945697577275,0.1257396449704142,180.0,1.0,1,1
1,1,0,0,0,0.09667673716012085,0.0,0.17899408284023668,360.0,1.0,1,1
0,1,0,0,0,0.04567104869219673,0.48851294903926484,0.21597633136094674,360.0,1.0,1,1
0,0,0,0,0,0.04953594077461147,0.0,0.11538461538461539,480.0,1.0,2,1
1,1,1,0,0,0.1568819574861871,0.0,0.28254437869822485,360.0,1.0,1,1
0,1,0,1,0,0.5080972210881577,0.0,0.5946745562130178,360.0,1.0,0,1
1,1,0,1,0,0.13573392123241065,0.0,0.2781065088757396,360.0,1.0,2,1
1,1,0,1,0,0.011485806047739583,0.3072263993316625,0.14053254437869822,360.0,1.0,1,1
1,0,0,0,0,0.011268065648730301,0.29490392648287383,0.14792899408284024,360.0,1.0,1,0
1,1,1,1,0,0.44424484907868594,0.8022138680033417,0.6079881656804734,360.0,1.0,1,1
1,1,0,1,0,0.05157725701532348,0.2650375939849624,0.15236686390532544,360.0,1.0,2,1
1,0,2,1,0,0.013908167986717835,0.3611111111111111,0.08136094674556213,360.0,1.0,0,1
0,1,0,1,0,0.13404643314008874,0.0,0.21301775147928995,360.0,1.0,1,1
1,1,0,1,0,0.1433548351977355,0.0,0.2529585798816568,360.0,1.0,1,1
1,1,0,0,0,0.1533981111020386,0.33312447786132,0.3106508875739645,360.0,1.0,2,1
1,1,0,0,0,0.045453308293187444,0.0,0.09911242603550297,360.0,1.0,2,1
1,1,0,1,0,0.0019596635910835306,0.5530492898913951,0.11242603550295859,360.0,0.0,2,0
0,1,0,1,1,0.4925015650091179,0.0,0.613905325443787,360.0,1.0,0,1
1,1,1,1,0,0.04215998475817207,0.0,0.08727810650887574,360.0,1.0,2,1
1,1,0,1,0,0.16537383304754905,0.0,0.27958579881656803,360.0,1.0,1,1
1,1,1,0,0,0.1799624397811709,0.0,0.2559171597633136,360.0,1.0,1,1
1,0,2,1,0,0.13810184807163658,0.0,0.22633136094674555,360.0,1.0,1,1
1,1,2,1,0,0.05487058055033886,0.4492481203007519,0.15976331360946747,360.0,1.0,1,1
0,1,0,0,0,0.04618818213984377,0.0,0.10946745562130178,360.0,0.0,1,0
1,1,0,1,0,0.13352929969244168,0.3260233918128655,0.25,360.0,1.0,2,1
1,0,0,1,0,0.2952287635067091,0.0,0.39644970414201186,360.0,1.0,2,1
1,1,0,1,0,0.43071772679023435,0.0,0.5399408284023669,360.0,1.0,1,1
1,1,0,1,0,0.016167224626439127,0.0,0.07840236686390532,360.0,1.0,1,1
1,0,0,1,1,0.024441359788791812,0.4440267335004177,0.14940828402366865,360.0,1.0,2,1
1,0,0,1,0,0.4253014343648785,0.0,0.5931952662721893,180.0,1.0,1,1
0,0,1,1,0,0.1957486187093438,0.4515455304928989,0.33136094674556216,360.0,1.0,2,1
1,1,1,0,0,0.31504313981655374,0.0,0.4541420118343195,360.0,0.0,2,1
1,1,0,1,0,0.0329876704499061,0.46115288220551376,0.10946745562130178,360.0,0.0,2,0
1,0,0,1,0,0.12988214800903622,0.0,0.22781065088757396,360.0,1.0,0,1
1,0,0,1,0,0.1772406847935549,0.3197577276524645,0.26479289940828404,360.0,1.0,2,1
1,1,0,1,0,0.16722462643912794,0.325187969924812,0.2440828402366864,360.0,1.0,2,1
1,1,0,1,0,0.07680792575052393,0.9596908939014203,0.21597633136094674,180.0,1.0,2,1
1,1,0,1,0,0.0019868811409596908,0.0,0.11982248520710059,180.0,1.0,2,0
0,0,0,1,0,0.1282490950164666,0.0,0.25,180.0,0.0,1,0
1,1,0,0,0,0.042595465556190634,0.0,0.13609467455621302,360.0,1.0,2,1
1,1,0,1,0,0.08764051060123568,0.5304928989139516,0.17011834319526628,360.0,1.0,2,1
1,1,0,1,0,0.4641680955880352,0.26044277360066836,0.599112426035503,360.0,1.0,1,1
1,1,0,0,0,0.07454886911080265,0.5357142857142857,0.21005917159763313,360.0,0.0,1,0
1,1,1,1,0,0.2688821752265861,0.0,0.3801775147928994,360.0,1.0,1,1
1,1,2,1,0,0.030429220761547044,0.0,0.21597633136094674,360.0,1.0,1,1
